feature_name,number
st_at__fourgram_dice_dist,505
tfidf_title_querythekey_let,398
word_in_title_string_only_num,116
beforethekey_thekey_pathsimilarity_max,334
pt_ab_unigram_tfidf,575
seqmatch_title_ratio,376
beforethekeys_thekey_pathsimilarity_max,346
thekey_before2thekey_lchsimilarity_mean,325
title_lchsimilarity_mean,361
nn_unimportant_in_description_letratio,194
beforethekeys_lchsimilarity_max,312
ratio_of_vbg_in_product_description,60
word2vec_13,474
nn_important_in_nn_important_in_bullets_sum,250
len_of_query_before2thekey,45
st_at__triterm_dice_dist,516
nn_important_in_nn_unimportant_in_description_sum,200
st_at__bigram_dice_dist,493
thekeys_in_description,285
len_of_query_w_dash_woBM,14
ratio_of_vbg_in_attribute_bullets,65
st_tfidf_7,444
word2vec_9,470
st_pd_bigram_tfidf,560
st_at_unigram_tfidf,567
title_ressimilarity_max,362
st_pt__trigram_jaccard_coef,531
pt_ab_trigram_tfidf,577
two_words_in_bullets_string_only_sum,235
pt_ab_bigram_tfidf,576
seqmatch_description_ratio,378
nn_unimportant_in_nn_important_in_title_num,149
title_ressimilarity_mean,363
nn_important_in_nn_important_in_bullets_letratio,252
word_in_description_let,168
keyword_in_description_num,272
thekeys_lchsimilarity_max,306
len_of_product_title_beforethekey,44
beforethekeys_lchsimilarity_mean,313
nn_important_in_nn_unimportant_in_description_num,199
beforethekeys_thekey_ressimilarity_mean,351
jj_rb_in_jj_rb_in_bullets_num,261
seqmatch_bullets_ratioscaled,381
thekey_in_description_let,288
nn_important_in_nn_important_in_description_sum,196
ratio_vowels_in_query,7
ratio_of_jj_rb_in_search_term,51
pt_at_unigram_tfidf,579
two_words_in_description_string_only_num,180
description_similarity_11-20,427
query_material_in_all_convoluted,97
st_pd__bigram_jaccard_coef,526
size_of_materials_in_query,22
common_digits_in_description_ratio,185
word_in_bullets_string_only_num,225
tfidf_jj_rb_in_title_let,421
thekey_in_nn_important_in_bullets_let,298
pd_at_bigram_tfidf,588
st_tfidf_4.1,453
prtitleWithout_in_query_string_only_letratio,109
nn_important_in_nn_unimportant_in_title_sum,146
ratio_of_jj_rb_in_product_title,56
word_in_bullets_let,222
word_in_bullets_num,220
keyword_in_bullets_let,279
ratio_of_nn_unimportant_in_product_title,53
st_tfidf_3.1,452
tfidf_title_querythekey_num,396
pt_pd__trigram_dice_dist,500
beforethekey_thekey_lchsimilarity_mean,337
nn_unimportant_in_title_num,138
before2thekey_beforethekey_ressimilarity_max,368
tfidf_description_let,388
query_pathsimilarity_max,352
before2thekey_thekey_lchsimilarity_mean,343
pt_at__fourgram_jaccard_coef,541
query_material_in_all_assumedmatch,95
query_material_in_all_nomatch,96
seqmatch_title_ratioscaled,377
st_pd__biterm_dice_dist,510
thekey_before2thekey_lchsimilarity_max,324
tfidf_vbg_in_title_let,415
nn_important_in_nn_unimportant_in_title_letratio,148
len_of_product_title_before2thekey,46
tfidf_matchtitle_num,390
beforethekey_thekey_pathsimilarity_mean,335
word2vec_5,466
two_words_in_description_string_only_sum,181
st_pd_fourgram_tfidf,562
st_at__fourgram_jaccard_coef,539
tfidf_bullets_num,386
wordFor_in_bullets_string_only_letratio,215
len_of_title_w_dash_woBM,15
two_words_in_description_sum,178
pt_pd__triterm_jaccard_coef,551
nn_important_in_nn_important_in_description_num,195
description_similarity_11-20to10,435
query_in_title,110
ratio_of_jj_rb_in_product_description,61
len_of_brands_in_product_title,23
wordWith_in_title_string_only_letratio,106
len_of_materials_in_product_description,29
len_of_meaningful_words_in_query,4
query_brand_in_all_convoluted,80
wordFor_in_title_string_only_letratio,103
vbg_in_vbg_in_description_sum,211
common_digits_in_description_num,184
st_pt_trigram_tfidf,555
word2vec_18,479
ratio_of_vb_in_product_title,54
st_tfidf_8.1,457
common_digits_in_description_jaccard,186
pd_at__bigram_jaccard_coef,530
query_ressimilarity_max,356
beforethekeys_thekey_lchsimilarity_max,348
thekey_before2thekey_pathsimilarity_max,322
beforethekey_in_bullets_sum,293
pt_pd__biterm_jaccard_coef,546
word_in_description_string_only_let,173
word_in_description_w_dash,176
nn_important_in_nn_important_in_description_let,197
nn_unimportant_in_bullets_num,246
before2thekey_beforethekey_pathsimilarity_mean,365
query_material_in_material_convoluted,92
pt_at__biterm_jaccard_coef,547
st_pt_triterm_tfidf,558
query_material_in_title_convoluted,98
beforethekey_thekey_ressimilarity_max,338
nn_unimportant_in_nn_important_in_title_letratio,152
tfidf_jj_rb_in_description_num,419
ratio_of_vb_in_attribute_bullets,64
query_brand_in_title_fullmatch,81
tfidf_matchdescription_num,391
pd_ab_bigram_tfidf,584
tfidf_vbg_in_title_num,412
beforethekeys_thekey_ressimilarity_max,350
nn_important_in_nn_important_in_title_sum,142
nn_important_in_title_numratio,136
size_of_materials_in_attribute_bullets,34
pt_pd__unigram_jaccard_coef,522
beforethekeys_pathsimilarity_mean,311
pd_at__trigram_jaccard_coef,536
common_digits_in_title_num,130
word2vec_2,463
pt_ab_fourgram_tfidf,578
word2vec_0,461
wordFor_in_title_string_only_num,101
tfidf_nn_important_in_title_let,403
tfidf_description_num,385
st_pt__triterm_dice_dist,514
beforethekeys_thekey_lchsimilarity_mean,349
pd_ab_trigram_tfidf,585
nn_unimportant_in_nn_important_in_bullets_sum,258
wordWith_in_title_string_only_let,105
pt_pd_fourgram_tfidf,574
beforethekeys_in_beforethekeys,301
perc_digits_in_title,68
query_in_description,165
st_pd__fourgram_dice_dist,504
seqmatch_desc&bullets_ratioscaled,383
title_pathsimilarity_mean,359
tfidf_jj_rb_in_bullets_num,420
nn_unimportant_in_nn_important_in_description_num,203
thekey_in_bullets_sum,289
wordFor_in_title_string_only_let,102
ratio_of_nn_important_in_attribute_bullets,62
nn_unimportant_in_nn_important_in_title_sum,150
word_in_description_numratio,169
nn_important_in_nn_important_in_description_letratio,198
nn_unimportant_in_nn_important_in_description_sum,204
st_pt__biterm_jaccard_coef,543
wordWith_in_bullets_string_only_letratio,218
word_in_title_string_only_letratio,120
beforethekey_before2thekey_lchsimilarity_mean,373
pd_ab_fourgram_tfidf,586
pd_at_fourgram_tfidf,590
pd_at__unigram_jaccard_coef,524
nn_unimportant_in_nn_important_in_bullets_num,257
word_in_title_sum,112
ratio_of_vbg_in_search_term,50
jj_rb_in_jj_rb_in_title_sum,154
common_digits_in_bullets_jaccard,240
common_digits_in_bullets_num,238
wordWith_in_bullets_string_only_let,217
nn_important_in_bullets_let,243
wordFor_in_bullets_string_only_let,214
vbg_in_vbg_in_bullets_sum,265
st_tfidf_4,441
nn_important_in_nn_important_in_bullets_let,251
beforethekeys_ressimilarity_mean,315
tfidf_nn_unimportant_in_bullets_num,408
word2vec_12,473
len_of_query_thekey,41
beforethekey_in_description_sum,291
nn_unimportant_in_description_num,192
is_query_misspelled,0
above8_dummy_frequency_of_beforethekey_thekey,424
description_similarity_21-30,429
len_of_query_beforethekey,43
tfidf_nn_unimportant_in_title_let,409
nn_important_in_nn_important_in_title_let,143
word2vec_8,469
is_replaced_using_google_dict,3
two_words_in_description_string_only_let,182
st_tfidf_5,442
vbg_in_vbg_in_description_let,212
vbg_in_vbg_in_title_let,158
thekeys_ressimilarity_mean,309
query_brand_in_brand_fullmatch,71
keyword_in_description_let,274
st_at_trigram_tfidf,569
keyword_in_bullets_numratio,280
two_words_in_title_num,122
pt_at__biterm_dice_dist,513
tfidf_jj_rb_in_title_num,418
len_of_digits_in_query,128
ab_at_fourgram_tfidf,594
tfidf_title_querybeforethekey_let,399
ratio_of_vbg_in_product_title,55
thekey_beforethekey_lchsimilarity_mean,319
thekey_in_beforethekeys,302
len_of_prtitle_without,12
beforethekey_before2thekey_pathsimilarity_max,370
nn_important_in_title_let,135
thekey_in_thekey,299
pd_at__fourgram_jaccard_coef,542
st_at__trigram_jaccard_coef,533
nn_important_in_description_sum,188
common_digits_in_title_ratio,131
nn_important_in_nn_unimportant_in_bullets_num,253
st_pd__biterm_jaccard_coef,544
two_words_in_bullets_string_only_let,236
keyword_in_titlekeys_letratio,271
st_pt_biterm_tfidf,557
word_in_bullets_letratio,224
nn_important_in_nn_unimportant_in_title_let,147
st_ab_trigram_tfidf,565
thekey_beforethekeys_lchsimilarity_mean,331
st_at_bigram_tfidf,568
nn_unimportant_in_bullets_letratio,248
word_in_description_string_only_num,171
two_words_in_bullets_sum,232
thekeys_lchsimilarity_mean,307
nn_unimportant_in_title_letratio,140
word_in_bullets_string_only_letratio,229
st_pt__trigram_dice_dist,497
word2vec_22,483
beforethekeys_ressimilarity_max,314
before2thekey_thekey_pathsimilarity_mean,341
vbg_in_vbg_in_title_sum,157
beforethekeys_in_thekey,303
st_tfidf_1.1,450
jj_rb_in_jj_rb_in_bullets_let,263
st_tfidf_2.1,451
common_digits_in_bullets_ratio,239
thekey_beforethekey_ressimilarity_mean,321
pt_pd__biterm_dice_dist,512
seqmatch_desc&bullets_ratio,382
