feature_name,number
pt_pd__bigram_jaccard_coef,346
description_similarity_20,10
beforethekeys_in_beforethekeys,357
st_tfidf_0.1,74
query_brand_in_bullets_convoluted,330
thekey_beforethekey_pathsimilarity_mean,107
common_digits_in_title_jaccard,53
st_pd_unigram_tfidf,166
1word_string_dld_in_pts,358
tfidf_nn_unimportant_in_title_let,278
st_tfidf_3.1,58
ratio_of_jj_rb_in_product_description,151
len_of_product_title,344
pt_at__trigram_dice_dist,320
word2vec_11,8
st_at__unigram_jaccard_coef,304
nn_unimportant_in_description_let,342
pt_pd__unigram_jaccard_coef,246
word2vec_22,4
nn_unimportant_in_title_let,367
st_tfidf_5.1,98
thekey_in_bullets_let,185
word_in_bullets_numratio,321
1word_dld_in_pt,324
word2vec_1,40
tfidf_description_num,68
tfidf_matchdescription_stringonly_num,249
ratio_of_jj_rb_in_attribute_bullets,234
nn_important_in_title_letratio,145
seqmatch_description_ratioscaled,81
st_tfidf_10,67
st_pd__trigram_dice_dist,350
2word_string_dld_in_pds,385
tfidf_description_let,80
nn_important_in_nn_important_in_bullets_letratio,438
keyword_in_bullets_letratio,189
nn_unimportant_in_bullets_let,373
tfidf_title_num,65
wordFor_in_title_string_only_let,265
