[2016-05-08 13:03:57,655] INFO: EditDistance_search_term_x_product_title_1D (1D): corr = -0.148776
[2016-05-08 13:03:58,412] INFO: EditDistance_search_term_x_product_title_product_name_1D (1D): corr = -0.270368
[2016-05-08 13:04:08,845] INFO: EditDistance_search_term_x_product_description_1D (1D): corr = 0.058494
[2016-05-08 13:04:20,083] INFO: EditDistance_search_term_x_product_attribute_1D (1D): corr = -0.090605
[2016-05-08 13:04:21,413] INFO: EditDistance_search_term_x_product_brand_1D (1D): corr = -0.049067
[2016-05-08 13:04:22,762] INFO: EditDistance_search_term_x_product_color_1D (1D): corr = -0.015338
[2016-05-08 13:04:24,556] INFO: EditDistance_search_term_product_name_x_product_title_1D (1D): corr = -0.177157
[2016-05-08 13:04:25,706] INFO: EditDistance_search_term_product_name_x_product_title_product_name_1D (1D): corr = -0.251603
[2016-05-08 13:04:36,241] INFO: EditDistance_search_term_product_name_x_product_description_1D (1D): corr = -0.003001
[2016-05-08 13:04:46,280] INFO: EditDistance_search_term_product_name_x_product_attribute_1D (1D): corr = -0.095229
[2016-05-08 13:04:47,650] INFO: EditDistance_search_term_product_name_x_product_brand_1D (1D): corr = -0.025299
[2016-05-08 13:04:49,049] INFO: EditDistance_search_term_product_name_x_product_color_1D (1D): corr = 0.000327
[2016-05-08 13:19:07,176] INFO: EditDistance_Unigram_Mean_Mean_search_term_x_product_title_1D (1D): corr = -0.243322
[2016-05-08 13:19:07,186] INFO: EditDistance_Unigram_Mean_Std_search_term_x_product_title_1D (1D): corr = -0.097499
[2016-05-08 13:19:07,196] INFO: EditDistance_Unigram_Mean_Max_search_term_x_product_title_1D (1D): corr = -0.251695
[2016-05-08 13:19:07,206] INFO: EditDistance_Unigram_Mean_Min_search_term_x_product_title_1D (1D): corr = -0.132605
[2016-05-08 13:19:07,217] INFO: EditDistance_Unigram_Mean_Median_search_term_x_product_title_1D (1D): corr = -0.231956
[2016-05-08 13:19:07,227] INFO: EditDistance_Unigram_Max_Mean_search_term_x_product_title_1D (1D): corr = 0.001802
[2016-05-08 13:19:07,237] INFO: EditDistance_Unigram_Max_Std_search_term_x_product_title_1D (1D): corr = -0.005173
[2016-05-08 13:19:07,247] INFO: EditDistance_Unigram_Max_Max_search_term_x_product_title_1D (1D): corr = 0.000569
[2016-05-08 13:19:07,278] INFO: EditDistance_Unigram_Max_Min_search_term_x_product_title_1D (1D): corr = 0.006833
[2016-05-08 13:19:07,288] INFO: EditDistance_Unigram_Max_Median_search_term_x_product_title_1D (1D): corr = -0.003453
[2016-05-08 13:19:07,298] INFO: EditDistance_Unigram_Min_Mean_search_term_x_product_title_1D (1D): corr = -0.385175
[2016-05-08 13:19:07,309] INFO: EditDistance_Unigram_Min_Std_search_term_x_product_title_1D (1D): corr = -0.277672
[2016-05-08 13:19:07,319] INFO: EditDistance_Unigram_Min_Max_search_term_x_product_title_1D (1D): corr = -0.365092
[2016-05-08 13:19:07,329] INFO: EditDistance_Unigram_Min_Min_search_term_x_product_title_1D (1D): corr = -0.191518
[2016-05-08 13:19:07,339] INFO: EditDistance_Unigram_Min_Median_search_term_x_product_title_1D (1D): corr = -0.302468
[2016-05-08 13:19:07,349] INFO: EditDistance_Unigram_Median_Mean_search_term_x_product_title_1D (1D): corr = -0.075766
[2016-05-08 13:19:07,360] INFO: EditDistance_Unigram_Median_Std_search_term_x_product_title_1D (1D): corr = 0.013111
[2016-05-08 13:19:07,370] INFO: EditDistance_Unigram_Median_Max_search_term_x_product_title_1D (1D): corr = -0.062955
[2016-05-08 13:19:07,380] INFO: EditDistance_Unigram_Median_Min_search_term_x_product_title_1D (1D): corr = -0.040026
[2016-05-08 13:19:07,390] INFO: EditDistance_Unigram_Median_Median_search_term_x_product_title_1D (1D): corr = -0.081702
[2016-05-08 13:32:14,134] INFO: EditDistance_Unigram_Mean_Mean_search_term_x_product_title_product_name_1D (1D): corr = -0.271628
[2016-05-08 13:32:14,144] INFO: EditDistance_Unigram_Mean_Std_search_term_x_product_title_product_name_1D (1D): corr = 0.148995
[2016-05-08 13:32:14,154] INFO: EditDistance_Unigram_Mean_Max_search_term_x_product_title_product_name_1D (1D): corr = -0.159365
[2016-05-08 13:32:14,164] INFO: EditDistance_Unigram_Mean_Min_search_term_x_product_title_product_name_1D (1D): corr = -0.224722
[2016-05-08 13:32:14,174] INFO: EditDistance_Unigram_Mean_Median_search_term_x_product_title_product_name_1D (1D): corr = -0.247735
[2016-05-08 13:32:14,185] INFO: EditDistance_Unigram_Max_Mean_search_term_x_product_title_product_name_1D (1D): corr = -0.105349
[2016-05-08 13:32:14,195] INFO: EditDistance_Unigram_Max_Std_search_term_x_product_title_product_name_1D (1D): corr = 0.021631
[2016-05-08 13:32:14,205] INFO: EditDistance_Unigram_Max_Max_search_term_x_product_title_product_name_1D (1D): corr = -0.089132
[2016-05-08 13:32:14,215] INFO: EditDistance_Unigram_Max_Min_search_term_x_product_title_product_name_1D (1D): corr = -0.054059
[2016-05-08 13:32:14,226] INFO: EditDistance_Unigram_Max_Median_search_term_x_product_title_product_name_1D (1D): corr = -0.117803
[2016-05-08 13:32:14,236] INFO: EditDistance_Unigram_Min_Mean_search_term_x_product_title_product_name_1D (1D): corr = -0.281347
[2016-05-08 13:32:14,246] INFO: EditDistance_Unigram_Min_Std_search_term_x_product_title_product_name_1D (1D): corr = 0.164408
[2016-05-08 13:32:14,256] INFO: EditDistance_Unigram_Min_Max_search_term_x_product_title_product_name_1D (1D): corr = -0.157621
[2016-05-08 13:32:14,266] INFO: EditDistance_Unigram_Min_Min_search_term_x_product_title_product_name_1D (1D): corr = -0.232795
[2016-05-08 13:32:14,277] INFO: EditDistance_Unigram_Min_Median_search_term_x_product_title_product_name_1D (1D): corr = -0.254171
[2016-05-08 13:32:14,287] INFO: EditDistance_Unigram_Median_Mean_search_term_x_product_title_product_name_1D (1D): corr = -0.271628
